Synonym	current_species_or_subspecies_name
Scincus bivittatus	Ablepharus bivittatus
Ablepharus Menestriesii	Ablepharus bivittatus
Ablepharus bivittatus	Ablepharus bivittatus
Ablepharus bivittatus bivittatus	Ablepharus bivittatus
Ablepharus chernovi	Ablepharus chernovi
Ablepharus kitaibelii cernovi	Ablepharus chernovi
Ablepharus kitaibelii chernovi	Ablepharus chernovi
Ablepharus chernovi chernovi	Ablepharus chernovi
Ablepharus chernovi eiselti	Ablepharus chernovi eiselti
Ablepharus chernovi isauriensis	Ablepharus chernovi isauriensis
Ablepharus chernovi ressli	Ablepharus chernovi ressli
Ablepharus darvazi	Ablepharus darvazi
Ablepharus deserti	Ablepharus deserti
Ablepharus tenuis	Ablepharus deserti
Ablepharus turkestanicus	Ablepharus deserti
Blepharosteres grayanus	Ablepharus grayanus
Ablepharus grayanus	Ablepharus grayanus
Ablepharis Kitaibelii	Ablepharus kitaibelii
Ablepharus pannonicus	Ablepharus kitaibelii
Ablepharus Kitaibelii	Ablepharus kitaibelii
Ablepharus kitaibeli	Ablepharus kitaibelii
Ablepharus kitaibelii stepaneki	Ablepharus kitaibelii stepaneki
Ablepharus kitaibelii fabichi	Ablepharus kitaibelii fabichi
Ablepharus pannonicus fabichii	Ablepharus kitaibelii fabichi
Ablepharus kitaibelii fitzingeri	Ablepharus kitaibelii fitzingeri
Scincus pannonicus	Ablepharus pannonicus
Ablepharus pannonicus	Ablepharus pannonicus
Riopa rueppelli	Ablepharus pannonicus
Blepharosteres agilis	Ablepharus pannonicus
Ablepharus pusillus	Ablepharus pannonicus
Ablepharus brandti	Ablepharus pannonicus
Ablepharus festae	Ablepharus pannonicus
Ablepharus persicus	Ablepharus pannonicus
Ablepharus brandti festae	Ablepharus pannonicus
Ablepharus kitaibelii fitzingeri	Ablepharus pannonicus
Abronia Auriculabronia anzuetoi	Abronia anzuetoi
Abronia anzuetoi	Abronia anzuetoi
Gerrhonotus auritus	Abronia aurita
Abronia aurita	Abronia aurita
Auriculabronia aurita	Abronia aurita
Abronia bogerti	Abronia bogerti
Abronia Scopaeabronia bogerti	Abronia bogerti
Abronia Auriculabronia campbelli	Abronia campbelli
Abronia campbelli	Abronia campbelli
